Name,Tier,rare,elite,eliteonly,ilvlreq to spawn,affix type,plvlreq,maxlevel,frequency,group,mod1code,mod1min,mod1max,mod2code,mod2min,mod2max,mod3code,mod3min,mod3max,variance,itype1,itype2,itype3,itype4,itype5,itype6,itype7,etype1,etype2,etype3,etype4,etype5
,2,1,1,0,9,prefix,,,9,2,str,4,7,,,,,,,,Melee Weapon,,,,,,,,,,,
,3,1,1,0,24,prefix,,,8,2,str,8,11,,,,,,,,Melee Weapon,,,,,,,,,,,
,4,1,0,0,55,prefix,,,7,2,str,12,15,,,,,,,,Melee Weapon,,,,,,,,,,,
,5,0,0,0,65,prefix,,,6,2,str,16,20,,,,,,,,Melee Weapon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,prefix,,,10,2,str,1,3,,,,,,,,Armor,,,,,,,,,,,
,2,1,1,0,10,prefix,,,9,2,str,4,7,,,,,,,,Armor,,,,,,,,,,,
,3,1,1,0,28,prefix,,,8,2,str,8,11,,,,,,,,Armor,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexterity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,3,dex,1,3,,,,,,,,Jewelry,,,,,,,,,,,
,2,1,1,0,6,,,,9,3,dex,4,7,,,,,,,,Jewelry,,,,,,,,,,,
,3,1,1,0,20,,,,8,3,dex,8,11,,,,,,,,Jewelry,,,,,,,,,,,
,4,1,1,0,40,,,,7,3,dex,12,15,,,,,,,,Jewelry,,,,,,,,,,,
,5,1,0,0,73,,,,6,3,dex,16,20,,,,,,,,Jewelry,,,,,,,,,,,
,6,0,0,0,88,,,,5,3,dex,21,25,,,,,,,,Jewelry,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,3,dex,1,3,,,,,,,,Range Weapon,,,,,,,,,,,
,2,1,1,0,9,,,,9,3,dex,4,7,,,,,,,,Range Weapon,,,,,,,,,,,
,3,1,1,0,24,,,,8,3,dex,8,11,,,,,,,,Range Weapon,,,,,,,,,,,
,4,1,0,0,55,,,,7,3,dex,12,15,,,,,,,,Range Weapon,,,,,,,,,,,
,5,0,0,0,65,,,,6,3,dex,16,20,,,,,,,,Range Weapon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,3,dex,1,3,,,,,,,,Armor,,,,,,,,,,,
,2,1,1,0,10,,,,9,3,dex,4,7,,,,,,,,Armor,,,,,,,,,,,
,3,1,1,0,28,,,,8,3,dex,8,11,,,,,,,,Armor,,,,,,,,,,,
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,4,int,1,3,,,,,,,,Jewelry,,,,,,,,,,,
,2,1,1,0,6,,,,9,4,int,4,7,,,,,,,,Jewelry,,,,,,,,,,,
,3,1,1,0,20,,,,8,4,int,8,11,,,,,,,,Jewelry,,,,,,,,,,,
,4,1,1,0,40,,,,7,4,int,12,15,,,,,,,,Jewelry,,,,,,,,,,,
,5,1,0,0,73,,,,6,4,int,16,20,,,,,,,,Jewelry,,,,,,,,,,,
,6,0,0,0,88,,,,5,4,int,21,25,,,,,,,,Jewelry,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,4,int,1,3,,,,,,,,Magic Weapon,,,,,,,,,,,
,2,1,1,0,9,,,,9,4,int,4,7,,,,,,,,Magic Weapon,,,,,,,,,,,
,3,1,1,0,24,,,,8,4,int,8,11,,,,,,,,Magic Weapon,,,,,,,,,,,
,4,1,0,0,55,,,,7,4,int,12,15,,,,,,,,Magic Weapon,,,,,,,,,,,
,5,0,0,0,65,,,,6,4,int,16,20,,,,,,,,Magic Weapon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,4,int,1,3,,,,,,,,Armor,,,,,,,,,,,
,2,1,1,0,10,,,,9,4,int,4,7,,,,,,,,Armor,,,,,,,,,,,
,3,1,1,0,28,,,,8,4,int,8,11,,,,,,,,Armor,,,,,,,,,,,
Agility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,5,agi,1,3,,,,,,,,Jewelry,,,,,,,,,,,
,2,1,1,0,6,,,,9,5,agi,4,7,,,,,,,,Jewelry,,,,,,,,,,,
,3,1,1,0,20,,,,8,5,agi,8,11,,,,,,,,Jewelry,,,,,,,,,,,
,4,1,1,0,40,,,,7,5,agi,12,15,,,,,,,,Jewelry,,,,,,,,,,,
,5,1,0,0,73,,,,6,5,agi,16,20,,,,,,,,Jewelry,,,,,,,,,,,
,6,0,0,0,88,,,,5,5,agi,21,25,,,,,,,,Jewelry,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,5,agi,1,3,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,9,,,,9,5,agi,4,7,,,,,,,,Weapon,,,,,,,,,,,
,3,1,1,0,24,,,,8,5,agi,8,11,,,,,,,,Weapon,,,,,,,,,,,
,4,1,0,0,55,,,,7,5,agi,12,15,,,,,,,,Weapon,,,,,,,,,,,
,5,0,0,0,65,,,,6,5,agi,16,20,,,,,,,,Weapon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,5,agi,1,3,,,,,,,,Armor,,,,,,,,,,,
,2,1,1,0,10,,,,9,5,agi,4,7,,,,,,,,Armor,,,,,,,,,,,
,3,1,1,0,28,,,,8,5,agi,8,11,,,,,,,,Armor,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,6,,1,4,,,,,,,,Armor,,,,,,,,,,,
,2,1,1,0,12,,,,9,6,,5,10,,,,,,,,Armor,,,,,,,,,,,
,3,1,1,0,25,,,,8,6,,11,16,,,,,,,,Armor,,,,,,,,,,,
,4,1,1,0,38,,,,7,6,,17,24,,,,,,,,Armor,,,,,,,,,,,
,5,1,0,0,55,,,,6,6,,25,33,,,,,,,,Armor,,,,,,,,,,,
,6,0,0,0,66,,,,5,6,,34,45,,,,,,,,Armor,,,,,,,,,,,
Heat Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,7,heat-dmg,mindam,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,7,heat-dmg,mindam + 5,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,7,heat-dmg,mindam + 10,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,7,heat-dmg,mindam + 15,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,7,heat-dmg,mindam + 20,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burn Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,8,burn-dmg,mindam,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,8,burn-dmg,mindam + 5,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,8,burn-dmg,mindam + 10,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,8,burn-dmg,mindam + 15,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,8,burn-dmg,mindam + 20,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,9,water-dmg,mindam,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,9,water-dmg,mindam + 5,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,9,water-dmg,mindam + 10,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,9,water-dmg,mindam + 15,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,9,water-dmg,mindam + 20,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,10,ice-dmg,mindam,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,10,ice-dmg,mindam + 5,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,10,ice-dmg,mindam + 10,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,10,ice-dmg,mindam + 15,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,10,ice-dmg,mindam + 20,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venom Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,11,venom-dmg,mindam,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,11,venom-dmg,mindam + 5,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,11,venom-dmg,mindam + 10,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,11,venom-dmg,mindam + 15,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,11,venom-dmg,mindam + 20,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,12,acid-dmg,mindam,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,12,acid-dmg,mindam + 5,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,12,acid-dmg,mindam + 10,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,12,acid-dmg,mindam + 15,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,12,acid-dmg,mindam + 20,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightning Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,13,light-dmg,mindam,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,13,light-dmg,mindam + 5,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,13,light-dmg,mindam + 10,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,13,light-dmg,mindam + 15,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,13,light-dmg,mindam + 20,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spark Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,14,spark-dmg,mindam,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,14,spark-dmg,mindam + 5,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,14,spark-dmg,mindam + 10,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,14,spark-dmg,mindam + 15,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,14,spark-dmg,mindam + 20,maxdam * plvl,,,,,,,1,Weapon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,15,fire-def,minblock,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,2,1,1,0,,,2,,8,15,fire-def,minblock + 5,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,3,1,1,0,,,3,,6,15,fire-def,minblock + 10,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,4,1,1,0,,,4,,4,15,fire-def,minblock + 15,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,5,1,1,0,,,5,,2,15,fire-def,minblock + 20,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,15,fire-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,15,fire-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,15,fire-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,15,fire-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,15,fire-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
Cold Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,16,cold-def,minblock,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,2,1,1,0,,,2,,8,16,cold-def,minblock + 5,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,3,1,1,0,,,3,,6,16,cold-def,minblock + 10,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,4,1,1,0,,,4,,4,16,cold-def,minblock + 15,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,5,1,1,0,,,5,,2,16,cold-def,minblock + 20,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,16,cold-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,16,cold-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,16,cold-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,16,cold-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,16,cold-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
Poison Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,17,psn-def,minblock,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,2,1,1,0,,,2,,8,17,psn-def,minblock + 5,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,3,1,1,0,,,3,,6,17,psn-def,minblock + 10,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,4,1,1,0,,,4,,4,17,psn-def,minblock + 15,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,5,1,1,0,,,5,,2,17,psn-def,minblock + 20,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,17,psn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,17,psn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,17,psn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,17,psn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,17,psn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
Electric Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,18,elec-def,minblock,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,2,1,1,0,,,2,,8,18,elec-def,minblock + 5,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,3,1,1,0,,,3,,6,18,elec-def,minblock + 10,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,4,1,1,0,,,4,,4,18,elec-def,minblock + 15,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,5,1,1,0,,,5,,2,18,elec-def,minblock + 20,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,18,elec-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,18,elec-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,18,elec-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,18,elec-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,18,elec-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
Heat Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,19,heat-def,minblock,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,2,1,1,0,,,2,,8,19,heat-def,minblock + 5,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,3,1,1,0,,,3,,6,19,heat-def,minblock + 10,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,4,1,1,0,,,4,,4,19,heat-def,minblock + 15,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,5,1,1,0,,,5,,2,19,heat-def,minblock + 20,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,19,heat-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,19,heat-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,19,heat-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,19,heat-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,19,heat-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
Burn Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,20,burn-def,minblock,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,2,1,1,0,,,2,,8,20,burn-def,minblock + 5,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,3,1,1,0,,,3,,6,20,burn-def,minblock + 10,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,4,1,1,0,,,4,,4,20,burn-def,minblock + 15,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,5,1,1,0,,,5,,2,20,burn-def,minblock + 20,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,20,burn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,20,burn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,20,burn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,20,burn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,20,burn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
Water Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,21,water-def,minblock,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,2,1,1,0,,,2,,8,21,water-def,minblock + 5,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,3,1,1,0,,,3,,6,21,water-def,minblock + 10,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,4,1,1,0,,,4,,4,21,water-def,minblock + 15,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,5,1,1,0,,,5,,2,21,water-def,minblock + 20,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,21,water-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,21,water-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,21,water-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,21,water-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,21,water-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
Ice Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,22,ice-def,minblock,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,2,1,1,0,,,2,,8,22,ice-def,minblock + 5,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,3,1,1,0,,,3,,6,22,ice-def,minblock + 10,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,4,1,1,0,,,4,,4,22,ice-def,minblock + 15,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,5,1,1,0,,,5,,2,22,ice-def,minblock + 20,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,22,ice-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,22,ice-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,22,ice-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,22,ice-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,22,ice-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
Venom Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,23,venom-def,minblock,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,2,1,1,0,,,2,,8,23,venom-def,minblock + 5,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,3,1,1,0,,,3,,6,23,venom-def,minblock + 10,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,4,1,1,0,,,4,,4,23,venom-def,minblock + 15,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,5,1,1,0,,,5,,2,23,venom-def,minblock + 20,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,23,venom-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,23,venom-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,23,venom-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,23,venom-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
